"Fecha	Tasa	""Convertir de""	""Convertir a"""
"29/06/2022 miércoles	""7,74796""	USD	GTQ"
"30/06/2022 jueves	""7,75091""	USD	GTQ"
"01/07/2022 viernes	""7,75043""	USD	GTQ"
"04/07/2022 lunes	""7,75133""	USD	GTQ"
"05/07/2022 martes	""7,75144""	USD	GTQ"
"06/07/2022 miércoles	""7,75406""	USD	GTQ"
"07/07/2022 jueves	""7,74904""	USD	GTQ"
"08/07/2022 viernes	""7,74582""	USD	GTQ"
"11/07/2022 lunes	""7,76290""	USD	GTQ"
"12/07/2022 martes	""7,74402""	USD	GTQ"
"13/07/2022 miércoles	""7,74611""	USD	GTQ"
"14/07/2022 jueves	""7,74069""	USD	GTQ"
"15/07/2022 viernes	""7,74268""	USD	GTQ"
"18/07/2022 lunes	""7,73704""	USD	GTQ"
"19/07/2022 martes	""7,73867""	USD	GTQ"
"20/07/2022 miércoles	""7,72950""	USD	GTQ"
"21/07/2022 jueves	""7,73408""	USD	GTQ"
"22/07/2022 viernes	""7,74108""	USD	GTQ"
"25/07/2022 lunes	""7,73278""	USD	GTQ"
"26/07/2022 martes	""7,73431""	USD	GTQ"
"27/07/2022 miércoles	""7,72614""	USD	GTQ"
"28/07/2022 jueves	""7,73701""	USD	GTQ"
"29/07/2022 viernes	""7,74905""	USD	GTQ"
"01/08/2022 lunes	""7,74036""	USD	GTQ"
"02/08/2022 martes	""7,72934""	USD	GTQ"
"03/08/2022 miércoles	""7,72947""	USD	GTQ"
"04/08/2022 jueves	""7,74569""	USD	GTQ"
"05/08/2022 viernes	""7,73925""	USD	GTQ"
"08/08/2022 lunes	""7,72934""	USD	GTQ"
"09/08/2022 martes	""7,73375""	USD	GTQ"
"10/08/2022 miércoles	""7,73860""	USD	GTQ"
"11/08/2022 jueves	""7,73822""	USD	GTQ"
"12/08/2022 viernes	""7,73857""	USD	GTQ"
"15/08/2022 lunes	""7,74027""	USD	GTQ"
"16/08/2022 martes	""7,73873""	USD	GTQ"
"17/08/2022 miércoles	""7,74227""	USD	GTQ"
"18/08/2022 jueves	""7,73821""	USD	GTQ"
"19/08/2022 viernes	""7,74190""	USD	GTQ"
"22/08/2022 lunes	""7,73495""	USD	GTQ"
"23/08/2022 martes	""7,73825""	USD	GTQ"
"24/08/2022 miércoles	""7,73374""	USD	GTQ"
"25/08/2022 jueves	""7,72933""	USD	GTQ"
"26/08/2022 viernes	""7,74352""	USD	GTQ"
"29/08/2022 lunes	""7,74615""	USD	GTQ"
"30/08/2022 martes	""7,73090""	USD	GTQ"
"31/08/2022 miércoles	""7,73272""	USD	GTQ"
"01/09/2022 jueves	""7,74263""	USD	GTQ"
"02/09/2022 viernes	""7,74186""	USD	GTQ"
"05/09/2022 lunes	""7,75034""	USD	GTQ"
"06/09/2022 martes	""7,74493""	USD	GTQ"
"07/09/2022 miércoles	""7,76282""	USD	GTQ"
"08/09/2022 jueves	""7,76083""	USD	GTQ"
"09/09/2022 viernes	""7,79265""	USD	GTQ"
"12/09/2022 lunes	""7,80166""	USD	GTQ"
"13/09/2022 martes	""7,78694""	USD	GTQ"
"14/09/2022 miércoles	""7,79555""	USD	GTQ"
"15/09/2022 jueves	""7,79603""	USD	GTQ"
"16/09/2022 viernes	""7,80192""	USD	GTQ"
"19/09/2022 lunes	""7,79759""	USD	GTQ"
"20/09/2022 martes	""7,80391""	USD	GTQ"
"21/09/2022 miércoles	""7,81100""	USD	GTQ"
"22/09/2022 jueves	""7,81988""	USD	GTQ"
"23/09/2022 viernes	""7,83426""	USD	GTQ"
"26/09/2022 lunes	""7,83414""	USD	GTQ"
"27/09/2022 martes	""7,84533""	USD	GTQ"
"28/09/2022 miércoles	""7,86106""	USD	GTQ"
"29/09/2022 jueves	""7,87218""	USD	GTQ"
"30/09/2022 viernes	""7,88076""	USD	GTQ"
"03/10/2022 lunes	""7,88779""	USD	GTQ"
"04/10/2022 martes	""7,89392""	USD	GTQ"
"05/10/2022 miércoles	""7,92850""	USD	GTQ"
"06/10/2022 jueves	""7,90787""	USD	GTQ"
"07/10/2022 viernes	""7,89036""	USD	GTQ"
"10/10/2022 lunes	""7,89103""	USD	GTQ"
"11/10/2022 martes	""7,87518""	USD	GTQ"
"12/10/2022 miércoles	""7,87880""	USD	GTQ"
"13/10/2022 jueves	""7,87948""	USD	GTQ"
"14/10/2022 viernes	""7,86803""	USD	GTQ"
"17/10/2022 lunes	""7,86402""	USD	GTQ"
"18/10/2022 martes	""7,84631""	USD	GTQ"
"19/10/2022 miércoles	""7,85094""	USD	GTQ"
"20/10/2022 jueves	""7,83308""	USD	GTQ"
"21/10/2022 viernes	""7,83851""	USD	GTQ"
"24/10/2022 lunes	""7,80122""	USD	GTQ"
"25/10/2022 martes	""7,83630""	USD	GTQ"
"26/10/2022 miércoles	""7,76462""	USD	GTQ"
"27/10/2022 jueves	""7,84068""	USD	GTQ"
"28/10/2022 viernes	""7,84071""	USD	GTQ"
"31/10/2022 lunes	""7,83951""	USD	GTQ"
"01/11/2022 martes	""7,81843""	USD	GTQ"
"02/11/2022 miércoles	""7,81659""	USD	GTQ"
"03/11/2022 jueves	""7,80600""	USD	GTQ"
"04/11/2022 viernes	""7,82207""	USD	GTQ"
"07/11/2022 lunes	""7,81787""	USD	GTQ"
"08/11/2022 martes	""7,81891""	USD	GTQ"
"09/11/2022 miércoles	""7,81875""	USD	GTQ"
"10/11/2022 jueves	""7,81681""	USD	GTQ"
"11/11/2022 viernes	""7,81773""	USD	GTQ"
"14/11/2022 lunes	""7,82389""	USD	GTQ"
"15/11/2022 martes	""7,80953""	USD	GTQ"
"16/11/2022 miércoles	""7,80437""	USD	GTQ"
"17/11/2022 jueves	""7,80346""	USD	GTQ"
"18/11/2022 viernes	""7,80176""	USD	GTQ"
"21/11/2022 lunes	""7,80382""	USD	GTQ"
"22/11/2022 martes	""7,79133""	USD	GTQ"
"23/11/2022 miércoles	""7,79119""	USD	GTQ"
"24/11/2022 jueves	""7,81281""	USD	GTQ"
"25/11/2022 viernes	""7,80688""	USD	GTQ"
"28/11/2022 lunes	""7,83173""	USD	GTQ"
"29/11/2022 martes	""7,82236""	USD	GTQ"
"30/11/2022 miércoles	""7,82311""	USD	GTQ"
"01/12/2022 jueves	""7,83224""	USD	GTQ"
"02/12/2022 viernes	""7,85179""	USD	GTQ"
"05/12/2022 lunes	""7,85597""	USD	GTQ"
"06/12/2022 martes	""7,88271""	USD	GTQ"
"07/12/2022 miércoles	""7,88850""	USD	GTQ"
"08/12/2022 jueves	""7,89906""	USD	GTQ"
"09/12/2022 viernes	""7,90765""	USD	GTQ"
"12/12/2022 lunes	""7,88523""	USD	GTQ"
"13/12/2022 martes	""7,88620""	USD	GTQ"
"14/12/2022 miércoles	""7,87365""	USD	GTQ"
"15/12/2022 jueves	""7,87841""	USD	GTQ"
"16/12/2022 viernes	""7,87302""	USD	GTQ"
"19/12/2022 lunes	""7,87069""	USD	GTQ"
"20/12/2022 martes	""7,86399""	USD	GTQ"
"21/12/2022 miércoles	""7,85834""	USD	GTQ"
"22/12/2022 jueves	""7,85569""	USD	GTQ"
"23/12/2022 viernes	""7,85702""	USD	GTQ"
"26/12/2022 lunes	""7,85561""	USD	GTQ"
